2014-06-01,07:37:00+01:00,1
2014-06-01,07:37:06+01:00,1
2014-06-01,07:37:12+01:00,1
2014-06-01,07:37:18+01:00,1
2014-06-01,07:37:24+01:00,1
2014-06-01,07:37:30+01:00,1
2014-06-01,07:37:36+01:00,1
2014-06-01,07:37:42+01:00,1
2014-06-01,07:37:48+01:00,2393
2014-06-01,07:37:54+01:00,2393
,,
dishwasher,,
2015-01-30,22:38:00+00:00,1
2015-01-30,22:38:06+00:00,1
2015-01-30,22:38:12+00:00,1
2015-01-30,22:38:18+00:00,1
2015-01-30,22:38:24+00:00,1
2015-01-30,22:38:30+00:00,1
2015-01-30,22:38:36+00:00,25
2015-01-30,22:38:42+00:00,25
2015-01-30,22:38:48+00:00,25
2015-01-30,22:38:54+00:00,26
2015-01-30,22:39:00+00:00,25
2015-01-30,22:39:06+00:00,7
2015-01-30,22:39:12+00:00,7
2015-01-30,22:39:18+00:00,7
2015-01-30,22:39:24+00:00,7
2015-01-30,22:39:30+00:00,7
2015-01-30,22:39:36+00:00,7
2015-01-30,22:39:42+00:00,7
2015-01-30,22:39:48+00:00,7
2015-01-30,22:39:54+00:00,6
2015-01-30,22:40:00+00:00,135
